pipeline,metric,treated,is_real,tau_hat_d,se_d
raw,SOS,Bhadrak|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,-8.64,16.8103
raw,SOS,Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-5.44,17.5026
raw,SOS,Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,-43.4489,12.7581
raw,POS,Angul|Baleshwar|Bhadrak|Cuttack|Dhenkanal,False,-1.5956,2.4875
raw,POS,Angul|Baleshwar|Bhadrak|Cuttack|Jagatsinghpur,False,-2.5911,2.5371
raw,POS,Angul|Baleshwar|Bhadrak|Cuttack|Kendrapara,False,-2.5911,2.5371
raw,POS,Angul|Baleshwar|Bhadrak|Cuttack|Puri,False,-4.7956,1.9229
raw,POS,Angul|Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur,False,0.6089,2.5246
raw,POS,Angul|Baleshwar|Bhadrak|Dhenkanal|Kendrapara,False,0.6089,2.5246
raw,POS,Angul|Baleshwar|Bhadrak|Dhenkanal|Puri,False,-1.5956,2.4875
raw,POS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Kendrapara,False,-0.3867,2.7235
raw,POS,Angul|Baleshwar|Bhadrak|Jagatsinghpur|Puri,False,-2.5911,2.5371
raw,POS,Angul|Baleshwar|Bhadrak|Kendrapara|Puri,False,-2.5911,2.5371
raw,POS,Angul|Baleshwar|Cuttack|Dhenkanal|Jagatsinghpur,False,3.9156,2.9262
raw,POS,Angul|Baleshwar|Cuttack|Dhenkanal|Kendrapara,False,3.9156,2.9262
raw,POS,Angul|Baleshwar|Cuttack|Dhenkanal|Puri,False,1.7111,3.3188
raw,POS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Kendrapara,False,2.92,3.286
raw,POS,Angul|Baleshwar|Cuttack|Jagatsinghpur|Puri,False,0.7156,3.5292
raw,POS,Angul|Baleshwar|Cuttack|Kendrapara|Puri,False,0.7156,3.5292
raw,POS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Kendrapara,False,6.12,2.0862
raw,POS,Angul|Baleshwar|Dhenkanal|Jagatsinghpur|Puri,False,3.9156,2.9262
raw,POS,Angul|Baleshwar|Dhenkanal|Kendrapara|Puri,False,3.9156,2.9262
raw,POS,Angul|Baleshwar|Jagatsinghpur|Kendrapara|Puri,False,2.92,3.286
raw,POS,Angul|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,0.6089,2.5246
raw,POS,Angul|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,0.6089,2.5246
raw,POS,Angul|Bhadrak|Cuttack|Dhenkanal|Puri,False,-1.5956,2.4875
raw,POS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,-0.3867,2.7235
raw,POS,Angul|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,-2.5911,2.5371
raw,POS,Angul|Bhadrak|Cuttack|Kendrapara|Puri,False,-2.5911,2.5371
raw,POS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,2.8133,2.1913
raw,POS,Angul|Bhadrak|Dhenkanal|Jagatsinghpur|Puri,False,0.6089,2.5246
raw,POS,Angul|Bhadrak|Dhenkanal|Kendrapara|Puri,False,0.6089,2.5246
raw,POS,Angul|Bhadrak|Jagatsinghpur|Kendrapara|Puri,False,-0.3867,2.7235
raw,POS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Kendrapara,False,6.12,2.0862
raw,POS,Angul|Cuttack|Dhenkanal|Jagatsinghpur|Puri,False,3.9156,2.9262
raw,POS,Angul|Cuttack|Dhenkanal|Kendrapara|Puri,False,3.9156,2.9262
raw,POS,Angul|Cuttack|Jagatsinghpur|Kendrapara|Puri,False,2.92,3.286
raw,POS,Angul|Dhenkanal|Jagatsinghpur|Kendrapara|Puri,False,6.12,2.0862
raw,POS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Jagatsinghpur,False,-2.5911,2.5371
raw,POS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Kendrapara,False,-2.5911,2.5371
raw,POS,Baleshwar|Bhadrak|Cuttack|Dhenkanal|Puri,False,-4.7956,1.9229
raw,POS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Kendrapara,False,-3.5867,2.5155
raw,POS,Baleshwar|Bhadrak|Cuttack|Jagatsinghpur|Puri,False,-5.7911,1.6716
raw,POS,Baleshwar|Bhadrak|Cuttack|Kendrapara|Puri,False,-5.7911,1.6716
raw,POS,Baleshwar|Bhadrak|Dhenkanal|Jagatsinghpur|Kendrapara,False,-0.3867,2.7235
