metric,n_districts,n_years,n_cells,mu_hat,sigma_u_hat,sigma_t_hat,sigma_e_hat,var_alpha,var_delta,var_eps,var_total
SOS,8,8,64,215.25,13.055513340019557,41.74582956073919,31.277305530845226,170.44642857142858,1742.7142857142858,978.2698412698413,2678.8571428571427
POS,8,8,64,289.734375,4.561307329436532,4.612888340214373,8.100328844000865,20.805524553571427,21.278738839285715,65.61532738095238,103.0235615079365
EOS,3,8,24,349.25,0.0,0.4629100498862757,0.0,0.0,0.21428571428571427,0.0,0.1956521739130435
