district_id,district_name,year,treatment,event,metric,value_days,n_pixels,qa_flag,sensor
DHK,Dhenkanal,2018,0,pre,EOS,349.0,1603861,OK,Landsat_harmonised
JGS,Jagatsinghpur,2014,1,pre,SOS,196.0,1282519,OK,Landsat_harmonised
JGS,Jagatsinghpur,2014,1,pre,POS,288.0,1282519,OK,Landsat_harmonised
JGS,Jagatsinghpur,2014,1,pre,EOS,,1282519,OK,Landsat_harmonised
JGS,Jagatsinghpur,2015,1,pre,SOS,196.0,1087697,OK,Landsat_harmonised
JGS,Jagatsinghpur,2015,1,pre,POS,288.0,1087697,OK,Landsat_harmonised
JGS,Jagatsinghpur,2015,1,pre,EOS,,1087697,OK,Landsat_harmonised
JGS,Jagatsinghpur,2016,1,pre,SOS,167.0,379317,OK,Landsat_harmonised
JGS,Jagatsinghpur,2016,1,pre,POS,259.0,379317,OK,Landsat_harmonised
JGS,Jagatsinghpur,2016,1,pre,EOS,,379317,OK,Landsat_harmonised
JGS,Jagatsinghpur,2017,1,pre,SOS,196.0,1276166,OK,Landsat_harmonised
JGS,Jagatsinghpur,2017,1,pre,POS,288.0,1276166,OK,Landsat_harmonised
JGS,Jagatsinghpur,2017,1,pre,EOS,,1276166,OK,Landsat_harmonised
JGS,Jagatsinghpur,2018,1,pre,SOS,196.0,1282518,OK,Landsat_harmonised
JGS,Jagatsinghpur,2018,1,pre,POS,288.0,1282518,OK,Landsat_harmonised
JGS,Jagatsinghpur,2018,1,pre,EOS,349.0,1282518,OK,Landsat_harmonised
KDP,Kendrapara,2014,1,pre,SOS,166.0,1939608,OK,Landsat_harmonised
KDP,Kendrapara,2014,1,pre,POS,288.0,1939608,OK,Landsat_harmonised
KDP,Kendrapara,2014,1,pre,EOS,349.0,1939608,OK,Landsat_harmonised
KDP,Kendrapara,2015,1,pre,SOS,196.0,1605412,OK,Landsat_harmonised
KDP,Kendrapara,2015,1,pre,POS,288.0,1605412,OK,Landsat_harmonised
KDP,Kendrapara,2015,1,pre,EOS,,1605412,OK,Landsat_harmonised
KDP,Kendrapara,2016,1,pre,SOS,167.0,1930129,OK,Landsat_harmonised
KDP,Kendrapara,2016,1,pre,POS,289.0,1930129,OK,Landsat_harmonised
KDP,Kendrapara,2016,1,pre,EOS,350.0,1930129,OK,Landsat_harmonised
KDP,Kendrapara,2017,1,pre,SOS,196.0,1931277,OK,Landsat_harmonised
KDP,Kendrapara,2017,1,pre,POS,288.0,1931277,OK,Landsat_harmonised
KDP,Kendrapara,2017,1,pre,EOS,,1931277,OK,Landsat_harmonised
KDP,Kendrapara,2018,1,pre,SOS,166.0,1939984,OK,Landsat_harmonised
KDP,Kendrapara,2018,1,pre,POS,288.0,1939984,OK,Landsat_harmonised
KDP,Kendrapara,2018,1,pre,EOS,349.0,1939984,OK,Landsat_harmonised
PUR,Puri,2014,1,pre,SOS,196.0,1708977,OK,Landsat_harmonised
PUR,Puri,2014,1,pre,POS,288.0,1708977,OK,Landsat_harmonised
PUR,Puri,2014,1,pre,EOS,349.0,1708977,OK,Landsat_harmonised
PUR,Puri,2015,1,pre,SOS,196.0,1553947,OK,Landsat_harmonised
PUR,Puri,2015,1,pre,POS,288.0,1553947,OK,Landsat_harmonised
PUR,Puri,2015,1,pre,EOS,,1553947,OK,Landsat_harmonised
PUR,Puri,2016,1,pre,SOS,167.0,1707613,OK,Landsat_harmonised
PUR,Puri,2016,1,pre,POS,289.0,1707613,OK,Landsat_harmonised
PUR,Puri,2016,1,pre,EOS,350.0,1707613,OK,Landsat_harmonised
PUR,Puri,2017,1,pre,SOS,258.0,1674521,OK,Landsat_harmonised
PUR,Puri,2017,1,pre,POS,288.0,1674521,OK,Landsat_harmonised
PUR,Puri,2017,1,pre,EOS,,1674521,OK,Landsat_harmonised
PUR,Puri,2018,1,pre,SOS,135.0,1709017,OK,Landsat_harmonised
PUR,Puri,2018,1,pre,POS,288.0,1709017,OK,Landsat_harmonised
PUR,Puri,2018,1,pre,EOS,349.0,1709017,OK,Landsat_harmonised
