pipeline,metric,tau_hat,t_obs,B,p_wcb_2sided,ci_lo_95_wcb,ci_hi_95_wcb,B_ci
raw,SOS,15.289,0.882,999,0.371,-54.021,84.599,499
raw,POS,-3.587,-1.245,999,0.239,-15.114,7.941,499
raw,EOS,0.0,1.029,999,0.205,-0.0,0.0,499
corrected,SOS,15.289,0.882,999,0.371,-54.021,84.599,499
corrected,POS,-3.587,-1.245,999,0.239,-15.114,7.941,499
corrected,EOS,0.0,1.029,999,0.205,-0.0,0.0,499
