district,district_id,year,year_type,cyclone_exposure,cyclone_year_event,pipeline,metric,median_doy,p25_doy,p75_doy,boot_p025,boot_p975,n_pixels,v21_f,v21_delta_cyc,v21_correction_days,v21_share_source
Baleshwar,bls,2017,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,6830172,,,,
Baleshwar,bls,2017,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,6830172,0.0,0.0,0.0,none
Baleshwar,bls,2018,control,coastal_treatment,,raw,SOS,135.0,78.48,191.52,118.57,151.43,23813225,,,,
Baleshwar,bls,2018,control,coastal_treatment,,corrected,SOS,135.0,78.48,191.52,118.57,151.43,23813225,0.0,0.0,0.0,none
Baleshwar,bls,2018,control,coastal_treatment,,raw,POS,288.0,283.28,292.72,286.63,289.37,23813225,,,,
Baleshwar,bls,2018,control,coastal_treatment,,corrected,POS,288.0,283.28,292.72,286.63,289.37,23813225,0.0,0.0,0.0,none
Baleshwar,bls,2018,control,coastal_treatment,,raw,EOS,349.0,344.28,353.72,347.63,350.37,23813225,,,,
Baleshwar,bls,2018,control,coastal_treatment,,corrected,EOS,349.0,344.28,353.72,347.63,350.37,23813225,0.0,0.0,0.0,none
Baleshwar,bls,2019,treatment,coastal_treatment,Fani,raw,SOS,227.0,209.51,244.49,221.92,232.08,23320838,,,,
Baleshwar,bls,2019,treatment,coastal_treatment,Fani,corrected,SOS,227.0,209.51,244.49,221.92,232.08,23320838,0.0,0.0,0.0,EMSR357_real
Baleshwar,bls,2019,treatment,coastal_treatment,Fani,raw,POS,288.0,276.55,299.45,284.67,291.33,23320838,,,,
Baleshwar,bls,2019,treatment,coastal_treatment,Fani,corrected,POS,288.0,276.55,299.45,284.67,291.33,23320838,0.0,0.0,0.0,EMSR357_real
Baleshwar,bls,2019,treatment,coastal_treatment,Fani,raw,EOS,349.0,344.28,353.72,347.63,350.37,23320838,,,,
Baleshwar,bls,2019,treatment,coastal_treatment,Fani,corrected,EOS,349.0,344.28,353.72,347.63,350.37,23320838,0.0,0.0,0.0,EMSR357_real
Baleshwar,bls,2020,treatment,coastal_treatment,Amphan,raw,SOS,167.0,140.05,193.95,159.17,174.83,23838537,,,,
Baleshwar,bls,2020,treatment,coastal_treatment,Amphan,corrected,SOS,166.98,140.05,193.95,159.17,174.83,23838537,0.001671,14.0,-0.02,provisional_label_density × Module08 polygon-area
