metric,n_obs,n_cells,n_clusters,tau_days,se_days,t_stat,p_value_cluster,ci_lo_95,ci_hi_95,p_value_wcb,r2
SOS,1223,436,8,4.9060199285489645,4.956288311909585,0.9898576555282651,0.3222436991547575,-4.808126659790645,14.620166516888574,0.232,0.5566089905124554
POS,1223,436,8,-2.581475192034131,1.726751718894576,-1.4949892122804591,0.1349172575655823,-5.965846371310132,0.8028959872418695,0.096,0.7554635532317627
EOS,1223,436,8,-4.441359556405539,3.6421853595119327,-1.2194216158731412,0.22268420976681425,-11.579911686067994,2.6971925732569177,0.25,0.6603864961607013
