district,share_Amphan,share_Fani,share_Yaas,area_km2_Amphan,area_km2_Fani,area_km2_Yaas
Angul,0.0,0.0,7.320734298637831e-06,0.0,0.0,0.0467928914081855
Baleshwar,0.0033408044076552,0.0,0.0052922040892912,12.3511434205473,0.0,19.56557874740086
Bhadrak,0.0078504425063512,0.000991,0.0721238858735724,19.26695423355122,2.4298,177.01009938583206
Cuttack,4.61646659233734e-05,0.013112,0.0001771292071069,0.1826089877796155,51.7072,0.7006524268949402
Dhenkanal,0.0,0.0,1.0823915314346074e-05,0.0,0.0,0.0486403292680795
Jagatsinghpur,0.0192102000300727,0.002912,0.0325589082664463,32.490599122218725,4.86,55.06753884322753
Kendrapara,0.0079043819719917,0.005352,0.0290345732515646,19.614931906735613,13.2727,72.05005771337494
Puri,0.0003969920815459,0.025188,0.0041800242941787,1.3942239836238297,88.1824,14.680116793211669
