cyclone,district,lon,lat,source
Fani,Cuttack,85.8972218778581,20.403839290084548,Copernicus EMS EMSR357
Fani,Cuttack,85.89021501864197,20.390364560822757,Copernicus EMS EMSR357
Fani,Puri,85.87674028938017,19.850027917424864,Copernicus EMS EMSR357
Fani,Puri,85.53987205783535,19.725521419045897,Copernicus EMS EMSR357
Fani,Puri,85.9408800006663,19.909855715347224,Copernicus EMS EMSR357
Fani,Puri,85.7560067151945,19.928989830898967,Copernicus EMS EMSR357
Fani,Kendrapara,86.75448415349335,20.52322539134403,Copernicus EMS EMSR357
Fani,Puri,85.7597796393878,19.918749036660007,Copernicus EMS EMSR357
Fani,Cuttack,85.74711339388172,20.421625932710118,Copernicus EMS EMSR357
Fani,Cuttack,85.84224498246998,20.52969326138969,Copernicus EMS EMSR357
Fani,Puri,85.86757747348216,19.91389813412576,Copernicus EMS EMSR357
Fani,Puri,85.913122058387,20.03490120289666,Copernicus EMS EMSR357
Fani,Puri,85.35931068572732,19.631198314213343,Copernicus EMS EMSR357
Fani,Cuttack,85.74926935056361,20.422164921880587,Copernicus EMS EMSR357
Fani,Puri,85.49244101083384,19.720401021926417,Copernicus EMS EMSR357
Fani,Puri,85.57463685933078,19.94542900059836,Copernicus EMS EMSR357
Fani,Puri,85.58110472937643,19.948123946450718,Copernicus EMS EMSR357
Fani,Puri,85.9077321666823,19.948123946450718,Copernicus EMS EMSR357
Fani,Puri,85.52963126359639,19.94030860347888,Copernicus EMS EMSR357
Fani,Puri,85.87970472981776,19.84760246615774,Copernicus EMS EMSR357
Fani,Puri,85.5980828882463,19.86727557087996,Copernicus EMS EMSR357
Fani,Cuttack,85.77514083074625,20.45827719630219,Copernicus EMS EMSR357
Fani,Cuttack,85.89614389951716,20.405995246766437,Copernicus EMS EMSR357
Fani,Cuttack,85.88401664318154,20.41030716013021,Copernicus EMS EMSR357
Fani,Puri,85.87727927855065,19.845177014890616,Copernicus EMS EMSR357
Fani,Puri,85.29436249068549,19.637935678844244,Copernicus EMS EMSR357
Fani,Puri,85.70615021692588,19.989626112577035,Copernicus EMS EMSR357
Fani,Cuttack,85.91204408004607,20.3847051745328,Copernicus EMS EMSR357
Fani,Puri,85.90827115585276,19.90608279115392,Copernicus EMS EMSR357
Fani,Puri,85.89991682371046,19.985044704628027,Copernicus EMS EMSR357
Fani,Puri,85.62179841174705,19.76756257434269,Copernicus EMS EMSR357
Fani,Cuttack,85.96486501875229,20.283914199654596,Copernicus EMS EMSR357
Fani,Kendrapara,86.94043541730609,20.646384416796817,Copernicus EMS EMSR357
Fani,Puri,85.40620274355837,19.65437484854363,Copernicus EMS EMSR357
Fani,Puri,85.92632729306357,19.908238747835806,Copernicus EMS EMSR357
Fani,Puri,85.47384588445256,19.71770607607405,Copernicus EMS EMSR357
Fani,Cuttack,85.96432602958183,20.30412629354728,Copernicus EMS EMSR357
Fani,Puri,85.88213018108489,19.99582448803746,Copernicus EMS EMSR357
Fani,Cuttack,85.965673502508,20.291460048041195,Copernicus EMS EMSR357
Fani,Cuttack,85.95462422451334,20.33215373041181,Copernicus EMS EMSR357
Fani,Puri,85.8904845132272,19.857034776640997,Copernicus EMS EMSR357
Fani,Puri,85.70615021692588,19.9788463291676,Copernicus EMS EMSR357
Fani,Cuttack,85.9160864988246,20.356947232253507,Copernicus EMS EMSR357
Fani,Puri,85.28358270727605,19.629581346701933,Copernicus EMS EMSR357
Fani,Cuttack,85.75088631807502,20.423512394806764,Copernicus EMS EMSR357
Fani,Cuttack,85.94626989237102,20.41246311681209,Copernicus EMS EMSR357
Fani,Puri,85.86838595723786,19.845177014890616,Copernicus EMS EMSR357
Fani,Cuttack,85.9160864988246,20.374733874879077,Copernicus EMS EMSR357
Fani,Puri,85.30595075785062,19.58754019140514,Copernicus EMS EMSR357
Fani,Puri,85.67111592084521,19.955130805666847,Copernicus EMS EMSR357
Fani,Puri,85.94303595734819,19.91066419910293,Copernicus EMS EMSR357
Fani,Cuttack,85.903959242489,20.5162185321279,Copernicus EMS EMSR357
Fani,Puri,85.79858685966177,20.04783694298798,Copernicus EMS EMSR357
Fani,Cuttack,85.77190689572342,20.51406257544601,Copernicus EMS EMSR357
Fani,Cuttack,85.92147639052932,20.377698315316668,Copernicus EMS EMSR357
Fani,Puri,85.71019263570442,19.983966726287083,Copernicus EMS EMSR357
Fani,Puri,85.91069660711989,19.86970102214708,Copernicus EMS EMSR357
Fani,Cuttack,85.74360996427366,20.511367629593654,Copernicus EMS EMSR357
Fani,Puri,85.85464173339084,19.95351383815543,Copernicus EMS EMSR357
Fani,Puri,85.58918956693351,19.98477521004279,Copernicus EMS EMSR357
