label_id,class_proposed,class_id,cyclone,event_date,source,district,lon,lat,delta_vh_db,delta_cr_db,vv_min_event_window,era5_3day_max_wind,lswi_min_event_window,jrc_water_permanence,ndwi_max_event_window
0.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.8972218778581,20.403839290084548,-3.665364499153007,4.728305533801976,-12.478868496394082,5.03273114864479,-0.15922297537326813,,-0.46062877774238586
1.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.89021501864197,20.390364560822754,2.2769215605996393,-0.4075745076300983,-14.199399342307048,5.03273114864479,-0.2766522765159607,,-0.3386601209640503
2.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.87674028938017,19.850027917424864,-7.369658746263404,1.2209659692797175,-32.83533805206913,7.389028685297001,-0.15744203329086304,4.0,-0.27902355790138245
3.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.53987205783535,19.725521419045897,-9.308677292207278,0.6765421712756172,-20.95239418872562,10.31287147683081,-0.193366140127182,,-0.3295283913612366
4.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.9408800006663,19.909855715347224,-3.659256979440059,-5.705065756914399,-23.074468660532517,7.389028685297001,-0.1803380399942398,,-0.29523399472236633
5.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.7560067151945,19.928989830898967,0.001416939373374504,1.3949223291614619,-10.297625014348013,6.969827912893093,-0.22396856546401978,7.0,-0.30632492899894714
6.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,86.75448415349335,20.52322539134403,1.719274729081512,-2.583091324857353,-19.76040325547836,,-0.27320554852485657,2.0,0.022244691848754883
7.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.7597796393878,19.918749036660007,-0.836001284024146,-3.896184218817183,-16.438730090962366,6.969827912893093,-0.21958273649215698,3.0,-0.2978357970714569
8.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.74711339388172,20.421625932710114,-2.16095899930108,3.336944943184868,-10.063182575468385,4.939875547539397,0.2614124119281769,6.0,-0.6165000200271606
9.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.84224498246998,20.529693261389692,-3.5729485042558125,-0.9513380989112648,-15.195737253188089,4.874832967667862,-0.1294715851545334,0.0,-0.38235294818878174
10.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.86757747348216,19.91389813412576,5.670110586247917,-2.325375393597504,-11.11256871590059,7.389028685297001,-0.20694980025291443,,-0.2869674265384674
11.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.913122058387,20.03490120289666,-2.1945574763418207,0.3704620289591478,-13.600882066301114,6.195791988428945,-0.1612129509449005,,-0.33807051181793213
12.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.35931068572732,19.631198314213346,-0.32961186778966933,-6.490205471773855,-22.182471013153688,,-0.23362766206264496,9.0,-0.2620418071746826
13.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.74926935056361,20.422164921880587,1.8780203733816911,0.47297732162315853,-8.502187283156072,4.939875547539397,0.20165419578552246,13.0,-0.5297067165374756
14.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.49244101083384,19.720401021926417,-6.980913680854986,-2.3555608009145352,-19.295311130022384,10.31287147683081,-0.16427664458751678,7.0,-0.3053586483001709
15.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.57463685933078,19.945429000598356,-12.46828429811335,4.413785719967915,-18.447922257196566,7.911337523633622,-0.18729843199253082,3.0,-0.2338983118534088
16.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.58110472937643,19.948123946450714,-6.424213394966511,-1.908681714178769,-18.952840365384162,7.911337523633622,-0.17573809623718262,1.0,-0.28894472122192383
17.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.9077321666823,19.948123946450714,-0.88823535615645,0.41173255750405247,-17.01471682539713,7.389028685297001,-0.21474067866802216,,-0.3785942494869232
18.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.52963126359639,19.940308603478876,-9.654205926141891,1.2683591570083657,-19.00342867103648,8.008512819896996,-0.1752615123987198,2.0,-0.35279950499534607
19.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.87970472981776,19.84760246615774,-5.560641818107953,1.171826312080146,-23.531281720143163,,-0.19394150376319885,3.0,-0.31145620346069336
20.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.5980828882463,19.867275570879958,-7.965058779787498,-0.2645463963004566,-14.659023063707897,7.911337523633622,-0.11014547199010849,31.0,-0.3439214527606964
21.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.77514083074625,20.45827719630219,-0.9423383139875838,2.442720634655407,-11.220734689370026,4.874832967667862,-0.1286034882068634,,-0.39101681113243103
22.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.89614389951716,20.405995246766434,10.84161409273578,-5.458666909720652,-7.305095571166749,5.03273114864479,-0.20967741310596466,,-0.3050251305103302
23.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.88401664318154,20.41030716013021,1.9763590551057693,-1.245510229618361,-8.92885171301755,5.03273114864479,-0.05180259048938751,,-0.4750884771347046
24.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.87727927855065,19.845177014890616,0.4439740905364147,0.7004430417102565,-18.802918828572754,,0.06695187091827393,3.0,-0.36957716941833496
25.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.29436249068549,19.637935678844244,-3.9921426700740525,0.6001540460491803,-14.309079105190058,8.958568006973712,-0.1936410665512085,11.0,-0.27267229557037354
26.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.70615021692588,19.989626112577035,-6.051587295535057,-7.201599723340269,-24.537263246053833,6.096451297566428,-0.1951274573802948,9.0,-0.28901734948158264
27.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.91204408004607,20.3847051745328,0.17340317563006025,-3.039184672061049,-13.927761331966867,5.03273114864479,-0.14332568645477295,,-0.40922579169273376
28.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.90827115585276,19.90608279115392,-8.028849361030069,4.44079477617554,-19.54207008284822,7.389028685297001,-0.13568146526813507,,-0.348626047372818
29.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.89991682371046,19.985044704628027,-5.562426029569011,-3.7636312329983213,-22.329146395222367,6.195791988428945,-0.12802892923355103,,-0.38802534341812134
30.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.62179841174705,19.76756257434269,-3.9782765513049974,0.8148834983791531,-16.66940292772457,9.125502164309033,-0.19367854297161102,,-0.38532641530036926
31.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.96486501875229,20.283914199654593,4.269168964569637,-2.564787568518648,-11.873616852135953,5.18406817355894,-0.19729071855545044,,-0.32208237051963806
32.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,86.94043541730609,20.646384416796817,-0.9958014633553525,-1.194931018806706,-14.40220017743059,,-0.2324114441871643,,-0.3521367609500885
33.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.40620274355837,19.65437484854363,-3.431460892395993,-9.545533906002099,-22.219271523479748,,-0.1540740728378296,1.0,-0.31528937816619873
34.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.92632729306357,19.908238747835806,-4.724764372079758,-1.9712459214358589,-22.00186319433751,7.389028685297001,-0.2124645859003067,1.0,-0.2751159071922302
35.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.47384588445256,19.717706076074055,-6.235668553295639,0.24381843091303956,-17.108437768120687,10.31287147683081,-0.18015962839126587,,-0.30096501111984253
36.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.96432602958183,20.30412629354728,3.6076451908346687,-3.3065231631613035,-13.170962772366723,5.18406817355894,0.24304185807704926,,-0.6374133825302124
37.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.88213018108489,19.99582448803746,-13.33484784305378,1.1147289822062731,-22.787374443644453,6.195791988428945,-0.11474694311618805,0.0,-0.3769935667514801
38.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.965673502508,20.291460048041195,1.5338036608747707,-3.4247548333293096,-24.293134090649318,5.18406817355894,-0.17593374848365784,,-0.37779033184051514
39.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.95462422451334,20.33215373041181,1.9231032705757194,1.44650666254946,-9.261495848893977,5.18406817355894,-0.1503383368253708,,-0.3504793047904968
40.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.8904845132272,19.857034776640994,-5.211733035646375,0.08933158821805876,-24.27512939557761,7.389028685297001,-0.1984957456588745,3.0,-0.23404255509376526
41.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.70615021692588,19.978846329167602,5.814795779862532,-9.894591754895806,-15.228325671679757,6.096451297566428,-0.24187567830085754,8.0,-0.3008981943130493
42.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.9160864988246,20.356947232253507,-0.014432963718480352,-2.754343816314753,-13.97783921685306,5.03273114864479,-0.19121934473514557,,-0.4290909171104431
43.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.28358270727605,19.629581346701933,0.7684933124686957,-10.053787596171006,-23.037426534196825,8.958568006973712,-0.2755846679210663,23.0,-0.2604166567325592
44.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.75088631807502,20.423512394806764,0.949726751026633,3.9509182388485122,-8.607473287505087,5.019582405484052,0.2379465103149414,2.0,-0.5815461277961731
45.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.94626989237102,20.412463116812095,1.2184935670559192,-0.6588560703216153,-12.527765310913967,5.03273114864479,-0.17843036353588104,,-0.37788018584251404
46.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.86838595723786,19.845177014890616,2.775041887068589,-0.2546189121742959,-13.077934486463187,,-0.2081202119588852,,-0.28775668144226074
47.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.9160864988246,20.374733874879073,6.3121180291087065,-4.2368583474926265,-12.543276861915205,5.03273114864479,-0.1847517192363739,,-0.36353468894958496
48.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.30595075785062,19.58754019140514,-9.589955877908395,-2.2122718147891653,-24.075525124240322,8.958568006973712,-0.2163742631673813,5.0,-0.27178603410720825
49.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.67111592084521,19.955130805666847,-4.414594912003359,-1.9308906303023985,-15.804961063822084,6.096451297566428,-0.1407487392425537,4.0,-0.4020557999610901
50.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.94303595734819,19.91066419910293,-5.339433536382824,-4.1347212434913825,-23.082197649261364,7.389028685297001,-0.18817833065986633,1.0,-0.26713576912879944
51.0,cyclone_flood,2,Fani,2019-05-03,Copernicus EMS EMSR357,NA,85.903959242489,20.5162185321279,2.7599086759932447,-3.145483083005532,-12.246397759944749,4.886210745591982,-0.2075713872909546,,-0.2884715795516968
